id,text
0,I went here tonight to get some food with my friend and from the time I pulled up to order my food and get my food it was already a terrible...
1,Two lousy buckets of chicken in two months. We used to love KFC but this specific restaurant has killed our taste for KFC. The last 12 piece bucket we...
2,"On several occasions I've come maybe an hour or so before close (9:45-9:50 and they ""supposedly"" close at 11 pm) and they're ALWAYS ""out"" of everything..."
3,"Rude and ghetto , you will be talking to 2 different ppl at the driver thru every time and will short you on your order."
4,"Would leave a once star review if i could. I ordered the $30 fill up. once I got home (7 miles away), I discovered they had not included the chicken strip..."
5,I ordered online and set it to be delivered. I waited 29 minutes after it was supposed to be delivered before going up to the restaurant and grabbing the...
6,"I should have read the reviews before walked in the door. Coming from out of state, I thought all KFCs had a standard... boy was I mistaken. For starters..."
7,Was it everyone's first day?! Jesus! And by everyone I mean all 3 employees. Waited 30 minutes for food and it was not even right. These people need to...
8,Terrible service. Just took 37 minutes to get our food after all we got was a sorry it'll be 5 more minutes. Manager refused to give money back. Shiniqua...
9,"Usually the service is pretty good here. However, the last several times I have visited this location, there is either a long wait time, or they get my..."
10,I went through drive thru and didn't have high expectations. We ordered off the combined Taco Bell and KFC menu and had to be pulled up. My chicken...
11,"Covid-19 Score = F No mask. No gloves. Doesnt seem to be aware of a pandemic. Told me to pick my order up at the window, then when I get to the window..."
12,This place never has what you want to ask for I feed the SU to pull up they do not have any vegetarian or vegan options at this location they are very rude...
13,Fire everyone from the cashier to the cooks. Feel free to keep the janitor. Serving me old chicken. The nerve.
14,"Tyler was scooping our potatoes with his bare hands and licking his fingers when he slopped the potatoes on his hands. After he licked his fingers, he..."
15,"Wow I doubted the five ""one"" star reviews Now I see why lol. I was forced to go here because of hunger and proximity to where I was. This picture that I..."
16,I only go here when desperate. I was desperate on a recent major holiday & they were giving 1 hour wait times on chicken & the general manager was cooking....
17,A pure example of what it should not be. The drive-thru is broken. The floors are nasty. The place could truly use an upgrade. They have no sweet tea....
18,Covid-19 response review. Very poor. Came to pick up order and workers in the kitchen had no PPE. Very unsanitary. There was also no enforcement of social...
19,I honestly haven't reviewed anything before but the chicken was so bad I had to! I picked up the chicken at this Decatur location on my way back to...
20,I don't know what's going on with KFC's. None of the KFC's in DeKalb County ever has wings. They force you to buy chicken that you do not want what is the...
21,"This specific KFC is a merged restaurant with Taco Bell, so you would think it would be a good stop for groups right? Wrong. There were about 20 people in..."
22,"States to be open to 12a. FALSE. Also every item we tried to order they did not have. We ordered the skittles freeze and were told "" we don't recommend it"""
23,Food is pretty good but all the females rude as hell especially maryam the small indian girl at the drive thru window
24,The manager is very unprofessional and her customer service is terrible. I placed an order online due to Covid-19 that wasn't ready when I went to pick it...
25,"This is down right scary. If you find a whole glove inside your chicken sandwich then you have to know they really don't give a care about your health, or..."
26,This location is shit!!! Drive thru don't care what they give you!! Charge me for something I did not order!! Not the first time every time I go here it is...
27,TWICE in a row the taco salad shell has been at the point of being rancid. One would think this restaurant (KRC and Taco Bell) could use FRESH shells for...
28,"Employees are in the back fighting and arguing with each other, the girl at the register trying to ask them to change their behavior, larger young lady with..."
29,"Let's be honest, a fast food restaurant really doesn't have to do much to be acceptable. I set the bar so low for them, that unless its an egregious..."
30,Once again disappointing visit to another restaurant this time I went to KFC on Wesley chapel. they never care about customer service or how they handle...
31,avoid kfc westley chapel poorly managed
32,Omg went to drive Thru for quick snack of strips wedges & cinnabon.... was told to pull up she will bring it out ... well damn 20 mins later I went .. oh...
33,"Not only didn't they have any of the pieces of chicken that I ordered, rather it was original or Crispy. It was half cooked, The staff was even worse. They..."
34,"I only eat here because of their grilled chicken, which is hardly ever available. But anyhoo, after waiting for grilled chicken to finish cooking, got home..."
35,Only went here for the hot wings nothing special. One thing I will say is if you do not ask to drain all the excess liquid from the coleslaw its more like...
36,KFC & TACO BELL owners need to step it up! You have the worst way of making people wait in the car line. I've literally been here longer than 25 mins...
37,"I'll never go there again. Ever. Everytime i go there, there's always some BS situation. I get it, everyone is ran crazy because of the pandemic but that..."
38,Hands down the single worst food experience I've ever had. Ordered my food through the kfc website and five minutes later went to pick it up (with 10 min...
39,"I just don't like it. The chicken is overly breaded and isn't cooked through, they rarely ever have chicken ready to order & they almost always messed up..."
40,Worst service if I could give it a zero I would First thing first the chicken and waffle is being advertised outside the restaurant and on the menu but I...
41,"Not only did they get my order wrong in the drive thru once but it up two more times once I was inside. Also, once I walked in I noticed how dirty it was..."
42,"I'm forced to give them a minimum of one star in order to leave a review. To improve, they would need to close. Honestly, it doesn't seem like the..."
43,"They intentionally filled my GrubHub order incorrectly, when I spoke to the ""manager"" on the phone she told me she couldn't issue a refund, but she would..."
44,"Whenever I go to KFC, I like to get the mash potato bowl. They made it with this dried up shredded chicken instead of chicken nuggets."
45,"Weird review. I have only gotten their food to go through Uber eats, and never had a problem, until last time when're I had missing food items. I reported..."
46,"At least 5 separate occasions I've come to this joke and every single time there's a wait for either the tenders or the wings. ""20 minutes"" that calculation..."
47,I made the mistake of going through the drive thru. I placed an order of a la cassette wings and was told there was a 10 minute wait and they would bring...
48,"Please believe the reviews, this is the worst kfc I've been to. Very disappointed with the lack of respect I got as a customer. They forgot the man before..."
49,"If I could give them ZERO stars I would. MICHEAL, my cashier was horrible!!!!! The entire staff lacked customer service skills. After finally being served,..."
50,"Really that's your response. Wow ,l encourage anyone to walk in that KFC. It is filthy dirty, people are rude and have an attitude. And employees pay more..."
51,"Its hard, but I been trying Thornton Rd.... You guys never prove me wrong! Don't go here! All I wanted was some original chicken and a soft biscuits from..."
52,"I received an email regarding purchases with a credit card from this KFC in Georgia. Mind you, I am in Hawaii and I know I did not place this order. I spoke..."
53,Love KFC. Surprised this location is still in business. It is the closest to our house so in the last year we've done the drive-tru five times. All five...
54,Ordered 48 wings and when I got home only counted 25 like seriously $37 worth of wings and didn't get what I paid for. Needles to say I'm pissed. I...
55,"Decided to stop here before heading to work, so I ordered a 12 pc Hot Wings (Nashville ). First they gave my order to someone else (apologized) then I got..."
56,the cashier at the drive thru did not wear any mask. i asked her about it and she did not answer but just giggled.
57,"Would give no stars if possible. With COVID concerns, called to get their Health Inspection Restaurant score-Person answering phone said she wanted me to..."
58,Environment is disgusting as with all KFC's - not surprised. Lack of employees ? Only like 5 crews ? Food is below average and sanitation needs to level...
59,"Filthy, Just pure filth 2 months ago I saw 2 cockroaches right in the kitchen no chefs would step on it just don't go to this location"
60,"Still the world's crappiest KFC. I thought it was under new management! I went there on a chilly Friday night at 8pm and first, ""Drive though is closed...."
61,"Out of pretty much everything. Drive thru is a joke. You're not this hungry. Go elsewhere, perhaps a local restaurant that would appreciate your..."
62,"My Grub Hub order was wrong and delivered cold. Worse, they didn't even pick up the phone when I tried to correct it. And even worse, I find this is a low..."
63,This place is the worst fucking KFC I dealt with the order was all wrong I was missing food from my order I guess people don't know how to read a ticket or...
64,Terrible! 6pm Thursday night and they don't have chicken? So... they won't make money no more tonight? Guess not!
65,"What to say about this place. It's just around the corner from my house which is great. The chicken, not up to the standards of KFC. It's greasy and usually..."
66,If I could give this disgusting place 0 stars I would. BEWARE!! Bugs found on food (pic attached). EAT HERE AT YOUR OWN RISK!! Unfortunately the people who...
67,Don't come here!!!!!! One of their workers (a Asian) girl just prepared my food with no gloves on and got an attitude when i asked her to remake it with...
68,I preface my review by acknowledging that this is a fast-food place in a very culturally diverse neighborhood; I'm not expecting fine-dining quality....
69,"If I could give zero stars, I would. The employees were rude and disrespectful. It was extremely clear that they did not care about their jobs AT ALL. The..."
70,Ordered 2 Honey BBQ sandwiches and a $5 fill up box. The sandwiches were both dry like they had been sitting for a long time. My $5 fill up box was missing...
71,Did not receive all my items!! Called the store no answer!! Then sent me hot wings instead of honey bbq!! Will never order from here again
72,"I got here at about 10:05am, and they say they open at 10am, and the store doors weren't open. So I waited a little bit and then went through the drive..."
73,Very disappointed! I was probably one of the large number of people who requested that the honey bbq wings return. I was so happy to see that they had done...
74,"wanted a bucket of kfc, like the product, but my 10 piece bucket consisted of 4 wings, 4 legs, and 2 thighs......apparently this bird had no breasts or any..."
75,"I walked inside to order. Order a 3 tender box with popcorn chicken, mash and coleslaw, a biscuit, honey, bbq dipping sauce and a regular drink. I go to..."
76,I've only been here one other time for the $5 fill up box and we run into the same problem as right now. I order the 8pc family meal and the drive thru...
77,Do NOT go through the drive thru! They will make you wait for ur food and then you still have to get down and get it inside! Smfh
78,"Today at at 7.02pm I the big box meal with the three peice and two medium sides and medium drink, I asked for both my sides to be the potato wedges, I also..."
79,Waste of space. I went an hour before closing and was told that because there was only an hour left they didn't have any food. Why bother staying open?...
80,"When the cashier took my order, I was told they only had crispy chicken. That was fine because I wanted 2 crispy wings and 2 crispy breasts. After waiting..."
81,"Where do I start ! This facility is ridiculous i ordered a $20 fill up 2.3.19 everything seemed fine i made my son a plate went to make mine , made mine..."
82,"Should have kept the receipt for the cashier's name. From the moment I walked in I heard sighs and moans. Look, if you didn't want to serve customers, you..."
83,"The food itself is ok, not that much worse than any other KFC location. I've only had one bad experience with the food, in which they did not give me nearly..."
84,"Ordered all dark meat, asked the order taker if he in fact had given me all dark meat, he lied and said yes. Got home and wound up throwing out half of the..."
85,"This has to be the worst KFC in the country, mainly because they never seem to have any actual chicken. Came in at noon on a Friday to be told they're out..."
86,"I came into this Kentucky fried chicken place order two chicken Pot pies me and my girlfriend,, the girl behind the counter acting like she never even..."
87,"Went in for lunch and ordered two chicken bowls, easy gravy and chicken on the side. I order this exact order every single time I get KFC. Atleast 1-2 times..."
88,Love KFC but not this location why?Three things poor customer service for dine in long wait times unfriendly cashiers they don't seem to know the words...
89,"nope, do not order here! They confirm your order, FINISH your order, the driver goes to pick it up and (the little car icon sits next to the business for a..."
90,Honestly I found a smaller piece of black hair on my chicken. Which is where I ripped off that piece. Then I find this piece of hair on the SAME PIECE of...
91,"Incomplete order: missing two orders of maccoronees from my order. Came back to get them back, lady gave me one only, and was told me to wait for 12..."
92,Big box meal?? Yep that's what you get is a big box! The pictures on the menu were by far more appealing than what I was served. Chicken tasted old and...
93,If I could I would rate this place zero stars. They are the absolute worst at customer service.
94,When to the kfc on 58 western about 7:45 I order a 3 piece tender for my daughter. Gets to the window look at my receipt I see is a two piece chicken And I...
95,"Went in on a Monday night. Usually the busiest night for fast food, but never this place. The manager continued to text as she prepared another customers..."
96,"Very poor horrible service I've gone here several times and have either had my order messed up, didn't receive my change, or the person working the drive..."
97,Second tome I've been here when there is an 18 minute wait for chicken! WTF!! Why sell food if you never have enough for people! Ridiculous!!
98,Lazy unintelligent employees. When was the last time they were drug tested? I mean they make the dumbest mistakes. Order a bucket and two large sides...
99,"Messed up my order and when I called the manager acted like it was ok , he offered to add sauce on one of the sandwiches if I brought it back , then his..."
100,The reason these crap fast food joints close and the lazy employees end up unemployed is because they don't care. No napkins. No fork. Wrong order items. Is...
101,The person taking our order was disgusting he kept curling his front curl with his finger touching his hair and his pants could not stay up I've should of...
102,This is the WORST KFC I've ever visited! Their food made everybody in my house and the dog sick! The chicken smelled fishy which should've been a red flag...
103,Myself and a coworker where starving chose this KFC over one close to our work because of bad reviews. So upon ordering we ask for three #8 which are famous...
104,I came in today to order some dinner for my grandmother and her caregiver after a trip to the doctor and yet the service is slower than a snail crawling in...
105,It's 8:49 pm and they don't have no chicken available and they don't close till 10 pm that's not good 2/17/19.
106,Update: even worse than I thought. They used burned bread to make my sandwich. Stupid employee. A zinger combo took forever. I waited for 15 min for a...
107,It's 1015pm & they are closed. They are supposed to be open until midnight. My kids were extremely disappointed that we could not have chicken sandwiches.
108,From my experience. If you want to get in and out without wanting to kill someone. Be very patient while you wait a long time for your food. Because I swear...
109,I came into the restaurant it was a long line no one taking orders. The manager Mary had a attitude and was telling the staff what not to do or give the...
110,You will get sick and be in the hospital and maybe die if you eat from here rats dropping in the food
111,I came here last night to order some chicken and the girl who took my order said they didn't have enough to to make my order and I specifically ordered...
112,Bad service. Never have anything chicken was so dry. I ordered an 8 piece meal and my chicken was so old and nasty! They leave the food out too long. I also...
113,I ordered a famous bowl with an orange soda I get my famous bowl and it's lukewarm so I had to go home and warm it up so I ordered food to have to go home...
114,The chicken here tastes very salty. Today I was the only one in the lobby and it took 5 minutes for someone to wait on me.
115,"this place is horrible, horrible, horrible now. they serve old food, cold food, nasty food. the customer service sucks, there rude. we ordered a family..."
116,"It's such a hit or miss with this place. Some days it's great, other days it's horrible. This is a 2 star in between day. Pepsi taste like seltzer, asked..."
117,"Sucks, rude employees ""lazy"" is better than none. They overcharge and never say thank you. Last time ever, they can stick the chicken....over-priced..."
118,40 minutes waiting for an online order. No one wearing a mask properly. Asked to talk to a manager. None came. Thank you for your response. I went back...
119,Drive thru people have no mannerisms towards the customers. Very unfriendly with no hello or thank you. Food is greasy and not good. No wonder why there is...
120,I would like to inform anyone going to use the drive thru in the future not to do so. Our order today was incorrect. This location is not close to my house....
121,All I know is that I don't go spend my money on food that isn't even edible. I ordered a buffalo chicken little and what do you know? Tastes old and stale...
122,"Usually have no problem here but today while I'm ordering he just gives me my total after ordering the famous bowl, I was thinking about getting a side with..."
123,I was truly surprised as this is my go to KFC. The amount of traffic and proximity to I57 has always kept the food fresh but not yesterday. My chicken...
124,My husband just purchased two 2-piece meals for him and myself. The chicken breast is so sry you need water to swallow it. The mash potatoes taste like...
125,"If no stars was an option i would choose it. This was the worst customer service ever. After we ordered, the drive thru person told us ""go park there""..."
126,if u want to actually eat lunch at lunch dont bother. stood in a line of only 3 people that did not move for 20 minutes and i just had to leave . i was...
127,"Two visits reflected in this review, combined because of service / apology. Visit from time to time, and the first of these recent ones was because of a..."
128,This place is disgusting. The floors are sticky. It took 20 minutes to get someone at the cash register. The food wash undercooked. I will never eat here again.
129,"Superbowl night, the one night i dont care how unhealthy the food is.i go to this kfc on western, i get thelargest bucket meal deal and other sandwiches, we..."
130,"Do not go, first of all the phone rang 40 times before answering. That should have gave it away. Finally ordered an 8 pc meal and a chicken bowl. Opened the..."
131,It's combined with the Taco bell at the mall. The food here is dispicible and unsatisfying. The lines are long at times and the cashier is rude. The food...
132,Just like the McDonald's across the street it seems to suffer from non modern update of a workable kitchen..it seems to be stuck in dial up internet of...
133,Terrible customer service. The lady who took my order was not helpful and very rude. Chicken was dry. Biscuits were dry. Very disappointed. Waste of...
134,Zero stars. 30minute wait in a drive thru with a 2 car line. How is that even possible? This is for the Taco Bell as well. I've never seen multiple cars...
135,Same as all the other reviews. Completely incompetent from top to bottom. An embarrassment. I don't even know how they stay open.
136,"I ordered food for the employees at my business, but didn't receive all of our food. Delivery was provided by Door Dash. Upon noticing the missing meal I..."
137,Decided to stop at KFC for my husband. He wanted chicken tenders and mashed potatoes. It took us from 6:28 to 6:57 to get through the drive thru. When we...
138,Easily the worst kfc location I have been to. Food is always cold and I'm always missing items from my order and have to drive back since I had already paid...
139,One of the very few KFCs in Cleveland that still serves grilled chicken! That is A HUGE plus for me. That alone would get them 5 stars from me if the...
140,Every time I go here they take forever and ask me what I ordered once I pull up to the window. One time I just ordered a large side of coleslaw and they...
141,"Every time I've gotten food here, I've thought about posting this review. But that would mean that I'd have to admit in public that I've eaten here, and..."
142,"Literally the worst place ever , i've been waiting for ever to order in the drive through , they keep telling e one minute It's been 33min The never get..."
143,The food does meet KFC corp0orate recipe standards - that is if you can get *anything* like what you actually ordered. The service is rubbish. R U B...
144,"Before I say anything. The service was great, quick and nice! Ordered a famous bowl and I felt like I was eating just the bread crumbs don't think I got one..."
145,Dont come to this KFC unless tou like slow service and unfriendly workers ...what is with Terraya...did your dog die this morning....my pet rock had more...
146,"So I'm waiting in their line.... they close at 11:00pm, I get there at 10:50 I just got off work. When I get there they take the car in front of me and then..."
147,I went to the drive thru and wanted to separate my order. The cashier Nia couldn't and asked the manager who told Nia that we had to go back around and...
148,"This is several visits. One evening through the drive-thru at 9:20 PM. I was at the speaker and I waited, no one said anything so I said hello, still no..."
149,Never ever eat here!! From the managers to the staff are ignorant through ghetto and downright disrespectful. I never have gotten fresh food from her they...
150,Beware of this establishment...it's very unsafe. The kids working there think it's a joke and see who has the best worst attitude. The drive thru girl took...
151,I have always liked KFC but this one has to be the worst ever. We live close by and sometimes even before 8 pm the place has no lights on and looks closed...
152,They don't have sweet and tangy sauce. It's $.50 extra per tender for Nashville Hot. No ice in the machine. The twit behind the counter has no personality...
153,Waited at least 10 minutes in the drivethru at 8:30pm on a Tuesday. Didn't get the biscuit that came with my meal. Disappointed in the experience.
154,Beware of this KFC. You're better off going to a different location. The service is poor at best and they usually don't have all the menu items KFC has...
155,"Not sure how KFC runs out of chicken, but this one succeeded. They were out of tenders which means that affects other menu items. I have been there..."
156,"KFC, quite like Taco Bell at 4am, tends to bring out a lot of ""eccentric"" individuals. It's always interesting to go inside and wait in line at this joint,..."
157,Terrible food Unprofessional rude customer service Dirty establishment Will not be coming back
158,The Westlake Ohio KFC is the worst ever. No Body has a clue how to run the place . They need to shut it down
159,Pathetic! Why don't KFC's have the menu items available before you show up? I came here to get a two piece grilled chicken lunch. I ordered it. They said...
160,"I will never, never, never eat nor drink at this establishment again! I think I have food poisoning right now as I type this review. I've been in the..."
161,"Ordered a #14 at 2:15 pm, honey bbq no pickles on the chicken sandwich. I get the the drive thru I pay handed no receipt and I heard the guy say ""pickle""?..."
162,"I love KFC. Let me get that straight. This particular establishment has 2 guarantees : 1.) You are going to wait A LONG TIME in line, especially the drive..."
163,Stopped in to use the bathroom and it was filthy! Inside the bathroom and out. Also the staff was too busy standing around chatting then to help me when I...
164,Horrible customer service! Charged me but unable to fill order. Requested refund. Manager said they were unable. Never go here!! Manager incompetent - more...
165,"This place is new and doesn't show much wear and tear. When you think fast food you generally think relatively quick service, however the employees move in..."
166,Horrible! I ordered 3 pc box w/ all white meat. I got 3 pc's but all dark meat. The coating was gummy/ doughy/ horrible. Also ordered (2) 3 pc tenders....
167,I'm a delivery driver. I come to this location all the time. Everything usually is fine. Yesterday 07/06/20 around 8pm I came to pick up a delivery. They...
168,"Over the years (50 or so), I have had many, many pieces of fried chicken from homemade, local diners, grocery store delis, and large chain restaurants, but..."
169,The temperature in this place is always sub 65 degrees. Which may explain why at high noon less than 15% of the place is filled. They did at least fix the...
170,"Worst chicken joint in Dallas. Went to Drive Thru. Placed a order. They didn't have sweet tea!! Who doesn't have sweet tea. Went to Popeyes.,,"
171,Probably the worst KFC I've ever eaten from. The wings were pretty inedible because they were cooked so hard that even the bones were brittle. Not to...
172,Cashier not knowledgeable about menu. Tone very dry. Makes a customer walk out. I didnt. I just would not recommend this location
173,"Placed on order through Yelp. My fiancé loves the the KFC pot pie. Unfortunately when she got home after picking it up, it was some mixed bowl rather than a..."
174,This is one of the worst locations I've ever been to. They completely got my order wrong. In addition there were three other people in the drive-through...
175,Famous bowl but no corn? this location is always out of something and def has one too many rude staff members.
176,"Horrible customer service. When I pulled up at the window the guy taking my order sounded so damn pissed off. ""KFC what do you want"" is how he greeted me...."
177,I took a bite out of the chicken and the jalapeño but the jalapeño was bigger than my baby chick drum stick !! The chicken is aooo good but cmon the size...
178,I have to be brutally honest with my fellow yelpers. This location is a hit and miss with me. Been to this place on many occasions including today and the...
179,Caution **** Only Eat here if nothing else is open!!!! Let's just start of by saying that this a probably one of those businesses where the little...
180,Told me its a 20 min wait on a family deal. Cmon man! Popeyes is right across the street. Why you keep losing money?
181,I'm not even wanting to give this 1 star! Didn't want to talk back in for the honey that was forgotten and said the truck didn't come in. We go in and low...
182,They obviously don't want it need any business. Tried to Eat there but they wouldn't let customers use their restroom. What do the employees use? I'll go...
183,"Dirty location, rude staff who don't even acknowledge or look up from their cell phone when you come up to the counter, incorrect orders, mediocre/cold..."
184,"I just left this location and I was there for about 30 minutes in the drive thru. It advertised they were offering free lemonde upgrades with the combo, so..."
185,"Had drive thru on Sunday 7-12-20 & ordered 4pc grilled chicken meal. The chicken tasted dry & old, the biscuit wasn't fresh & was rock hard & no butter in..."
186,I swear every time I come here it reminds me why I hate it. The employees treat you like they don't want to be at work. No customer service skills. All i...
187,"I ordered the three-piece combo original of course, but they serve me old chicken instead I thought original chicken was supposed to be a soft chicken but..."
188,"This place was the worst ever . They gave me the wrong food , and besides when I opened my bag a really strong smell came out it smelled like if someone..."
189,This place never gets my order right. It doesn't matter if they repeat it back to me by the time I get my food my order is wrong. And they are the rudest...
190,"Fresh hot tasty food with great customer service and the correct order is not something you will find here, DT person was extremely cold at the speaker and..."
191,"The sign says they're open till 1AM, and I went to the drive thru at 10.37 and the lady said they were already closed. Smh"
192,OMG The reviews are spot on. The workers asked us 3 times to repeat my order. Super slow service. The guy was high as a kite. Forgot my soda. I just wanted...
193,Horrible place to eat. Lobby was always dirty. Never had food prepared I thought this was supposed to a be fast food place? Employees were like animals!!!...
194,"Wow this place was a joke when I was trying to order my food the kids just played on the mic like the movie ""dude where's my car"". Then when I pulled up to..."
